# Game Progression Data

| Level | XP Required | Cumulative XP | Player Health | Min Damage | Max Damage |
|-------|------------|--------------|---------------|------------|------------|
| 1 | 0 | 0 | 101 | 3 | 8 |
| 2 | 300 | 300 | 102 | 3 | 8 |
| 3 | 525 | 825 | 103 | 3 | 9 |
| 4 | 800 | 1625 | 105 | 4 | 10 |
| 5 | 1125 | 2750 | 106 | 4 | 11 |
| 6 | 1500 | 4250 | 108 | 4 | 13 |
| 7 | 1925 | 6175 | 110 | 5 | 14 |
| 8 | 2400 | 8575 | 112 | 5 | 15 |
| 9 | 2925 | 11500 | 113 | 6 | 16 |
| 10 | 3500 | 15000 | 115 | 6 | 18 |
| 11 | 4125 | 19125 | 117 | 7 | 19 |
| 12 | 4800 | 23925 | 119 | 7 | 20 |
| 13 | 5525 | 29450 | 121 | 8 | 21 |
| 14 | 6300 | 35750 | 123 | 8 | 23 |
| 15 | 7125 | 42875 | 125 | 9 | 24 |
| 16 | 8000 | 50875 | 127 | 9 | 26 |
| 17 | 8925 | 59800 | 129 | 10 | 27 |
| 18 | 9900 | 69700 | 132 | 10 | 28 |
| 19 | 10925 | 80625 | 134 | 11 | 30 |
| 20 | 12000 | 92625 | 136 | 11 | 31 |
| 21 | 13125 | 105750 | 138 | 12 | 33 |
| 22 | 14300 | 120050 | 140 | 12 | 34 |
| 23 | 15525 | 135575 | 143 | 13 | 35 |
| 24 | 16800 | 152375 | 145 | 14 | 37 |
| 25 | 18125 | 170500 | 147 | 14 | 38 |
| 26 | 19500 | 190000 | 149 | 15 | 40 |
| 27 | 20925 | 210925 | 152 | 15 | 41 |
| 28 | 22400 | 233325 | 154 | 16 | 43 |
| 29 | 23925 | 257250 | 156 | 16 | 44 |
| 30 | 25500 | 282750 | 159 | 17 | 46 |

# Enemy Scaling Example

## Enemy: RedBoss

| Level | Enemy Health | Min Damage | Max Damage | XP Reward |
|-------|-------------|------------|------------|-----------|
| 1 | 30 | 3 | 5 | 10 |
| 2 | 33 | 3 | 5 | 40 |
| 3 | 36 | 3 | 6 | 90 |
| 4 | 41 | 4 | 6 | 160 |
| 5 | 45 | 4 | 7 | 250 |
| 6 | 50 | 4 | 8 | 360 |
| 7 | 55 | 5 | 8 | 490 |
| 8 | 60 | 5 | 9 | 640 |
| 9 | 66 | 6 | 10 | 810 |
| 10 | 71 | 6 | 11 | 1000 |
| 11 | 77 | 7 | 12 | 1210 |
| 12 | 83 | 7 | 12 | 1440 |
| 13 | 89 | 8 | 13 | 1690 |
| 14 | 95 | 8 | 14 | 1960 |
| 15 | 101 | 9 | 15 | 2250 |
| 16 | 107 | 9 | 16 | 2560 |
| 17 | 113 | 10 | 17 | 2890 |
| 18 | 119 | 10 | 18 | 3240 |
| 19 | 126 | 11 | 18 | 3610 |
| 20 | 132 | 11 | 19 | 4000 |
| 21 | 139 | 12 | 20 | 4410 |
| 22 | 145 | 12 | 21 | 4840 |
| 23 | 152 | 13 | 22 | 5290 |
| 24 | 159 | 14 | 23 | 5760 |
| 25 | 165 | 14 | 24 | 6250 |
| 26 | 172 | 15 | 25 | 6760 |
| 27 | 179 | 15 | 26 | 7290 |
| 28 | 186 | 16 | 27 | 7840 |
| 29 | 193 | 16 | 28 | 8410 |
| 30 | 200 | 17 | 29 | 9000 |

## Boss: RedBoss

| Level | Boss Health | Min Damage | Max Damage | XP Reward |
|-------|------------|------------|------------|-----------|
| 1 | 30 | 3 | 5 | 10 |
| 2 | 33 | 3 | 5 | 40 |
| 3 | 36 | 3 | 6 | 90 |
| 4 | 41 | 4 | 6 | 160 |
| 5 | 45 | 4 | 7 | 250 |
| 6 | 50 | 4 | 8 | 360 |
| 7 | 55 | 5 | 8 | 490 |
| 8 | 60 | 5 | 9 | 640 |
| 9 | 66 | 6 | 10 | 810 |
| 10 | 71 | 6 | 11 | 1000 |
| 11 | 77 | 7 | 12 | 1210 |
| 12 | 83 | 7 | 12 | 1440 |
| 13 | 89 | 8 | 13 | 1690 |
| 14 | 95 | 8 | 14 | 1960 |
| 15 | 101 | 9 | 15 | 2250 |
| 16 | 107 | 9 | 16 | 2560 |
| 17 | 113 | 10 | 17 | 2890 |
| 18 | 119 | 10 | 18 | 3240 |
| 19 | 126 | 11 | 18 | 3610 |
| 20 | 132 | 11 | 19 | 4000 |
| 21 | 139 | 12 | 20 | 4410 |
| 22 | 145 | 12 | 21 | 4840 |
| 23 | 152 | 13 | 22 | 5290 |
| 24 | 159 | 14 | 23 | 5760 |
| 25 | 165 | 14 | 24 | 6250 |
| 26 | 172 | 15 | 25 | 6760 |
| 27 | 179 | 15 | 26 | 7290 |
| 28 | 186 | 16 | 27 | 7840 |
| 29 | 193 | 16 | 28 | 8410 |
| 30 | 200 | 17 | 29 | 9000 |
